x y
1108.8841077583395 1200.8121860893882
594.6616869808505 192.70355802767904
606.9884261925586 190.56961934929302
602.0707166263555 187.97698421814334
1499.6801772656522 1016.5321626702986
1501.7520408541404 1004.3992368828035
597.941197067156 200.04139042183303
302.0746111826598 1105.1742620234686
299.68246865150473 1100.2289056559443
286.75718285254254 1108.6689410571157
1093.0589293513513 1174.2796985720195
613.4379756683011 196.16185858551233
1506.1385350842938 997.5937276224856
288.78970334758264 1092.5306576167027
1502.6192435009714 997.0790295731829
615.5485795379935 198.62605834886543
1097.9419008569055 1203.2020320132908
1494.088876963228 991.3959245538279
1091.8591831494225 1207.0789058628434
276.7544392459304 1089.2127746233543
1086.027853866552 1189.7489437182066
1485.1499262195248 998.6461155593022
290.22317830815217 1082.8086387601609
1513.4272534367972 993.5535276029324
304.5376261576122 1096.3287971645516
603.4911226769509 197.07167001663478
312.5092911572016 1093.5438340423154
300.72956302514007 1111.8000713591468
1104.1330857209814 1197.6376177658267
292.2497573860017 1095.5099528125559
1493.7784250778916 1009.2549660654302
1102.0533613628118 1200.7099280301388
612.8589633154705 197.9184696747324
1492.526764304128 1017.7620293444575
603.8779172304941 183.63940653350878
594.9198371942401 200.54162015884214
1108.7450908517765 1212.201317847555
1094.6163784016296 1194.0742502528462
1485.3226235761094 991.7275997652089
1103.9765642074904 1209.3118132970128
